timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1579407631040,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631041,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631132,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631134,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631135,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631136,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631137,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631138,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631140,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631141,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631142,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631143,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-12,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631233,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631235,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631237,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631238,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631239,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-13,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407632239,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1
1579407632240,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,1
1579407632242,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-23,text,false,Test failed: code expected to match /200/,2037,0,11,11,0,0,0
